Customer_ID,Name,Age,Gender,Location,Income,Join_Date,Membership_Status,Email,Phone_Number
1,Norma Fisher,42,Female,Mumbai,742987,2022-11-14,None,thull@yahoo.com,(938)242-1948x924
2,Benjamin Jefferson,43,Female,Ahmedabad,950883,2023-03-04,Silver,gomezleslie@hotmail.com,877.840.8016
3,Rachel Garrett,50,Male,Chennai,493068,2024-05-15,Gold,john51@gmail.com,001-332-871-1587
4,Juan Mann,57,Female,Jaipur,1678853,2024-02-05,Silver,tamaramorrison@hotmail.com,719-659-3423x2094
5,Brandon Todd,37,Male,Delhi,1983572,2022-05-28,Platinum,villanuevasandra@vega.net,396.947.7515
6,Katelyn Mccoy,48,Other,Delhi,941954,2022-07-30,None,dennisdave@watson.com,(012)309-8910x13991
7,Jacob Hooper,38,Other,Hyderabad,1358726,2021-12-03,None,susanlopez@mendoza.com,+1-086-914-1314x56208
8,Kyle Lyons,46,Other,Chennai,330609,2023-06-07,Gold,michael79@wolfe.com,+1-225-841-9720x76984
9,Jasmine Sandoval,23,Other,Pune,1689509,2022-06-03,Gold,vharmon@williams.info,(945)992-4661x093
10,Caitlin Walker,57,Female,Kolkata,711518,2023-09-04,Platinum,sjohnson@hotmail.com,(027)142-7878x90075
11,John Lamb,63,Male,Hyderabad,1390156,2023-07-14,Silver,monroedavid@morales.biz,030-089-1319x34421
12,Thomas Burton,33,Male,Jaipur,1139460,2021-11-10,Gold,hmarsh@yahoo.com,(851)240-0034
13,Theresa Mays,23,Female,Jaipur,1226108,2021-12-12,Gold,xbowman@hotmail.com,(369)402-2455
14,Michelle Morgan,37,Other,Chennai,1681766,2024-05-28,Gold,nelsonedward@roberts.com,730-428-1465
15,Brian Hoffman,53,Female,Jaipur,626145,2023-10-25,Platinum,mary51@yahoo.com,760-452-2961
16,Bradley Brady,46,Male,Surat,1873391,2022-01-11,None,garciaangela@yahoo.com,793.615.3492x635
17,Rodney Farrell,38,Other,Hyderabad,808865,2021-11-19,Silver,davidsanders@gmail.com,+1-039-213-7658x2197
18,Jared Frazier,30,Male,Mumbai,1485078,2023-12-26,Platinum,martha73@hotmail.com,+1-305-550-8249x269
19,Michael Ruiz,48,Male,Delhi,1623387,2022-02-16,Silver,perezbilly@blake.com,(275)868-8091
20,Renee Chang,27,Male,Delhi,1666586,2022-02-03,None,keithsantana@yahoo.com,699.300.2489x4517
21,Terri Turner,63,Other,Chennai,1294273,2023-07-03,Silver,pbrown@gmail.com,450.076.2791
22,Brittany Hatfield,31,Other,Surat,1930702,2023-07-08,None,dhughes@ruiz.com,9925185367
23,Antonio Haynes,55,Female,Ahmedabad,1233173,2024-05-19,Platinum,montesjennifer@yahoo.com,(641)830-6753
24,Richard Jones,23,Female,Surat,441905,2021-12-16,None,bscott@estrada.com,001-886-841-2696x11611
25,Christopher Blevins,55,Other,Kolkata,1972256,2023-09-01,Silver,ujohnson@hotmail.com,151-150-5520x351
26,Briana Smith,33,Male,Chennai,445648,2024-07-27,Silver,carterhannah@hall.info,(420)355-7448x529
27,Ashley Carpenter MD,41,Male,Kolkata,1093661,2022-05-24,Gold,lesliesanchez@carter.com,(906)112-6486
28,Brenda Henderson,24,Male,Hyderabad,294862,2024-06-23,Gold,wrightcynthia@hotmail.com,066.065.7354x71214
29,Larry Moore,19,Male,Hyderabad,1471583,2024-10-03,Gold,alopez@yahoo.com,(375)825-7173
30,Ronald Cole,43,Male,Kolkata,1948698,2023-09-25,Gold,kennethmack@turner.info,738-640-1400
31,Joseph Perkins,20,Other,Mumbai,608086,2023-06-15,Silver,francismichael@hotmail.com,910.144.8518
32,Stephanie Gill,63,Male,Ahmedabad,641610,2022-01-21,Gold,justin29@hotmail.com,+1-381-686-4475x9221
33,Jane Garza,61,Male,Jaipur,1092587,2022-05-12,Gold,crystal63@yahoo.com,857.074.2709x3057
34,Willie Mathis,34,Male,Hyderabad,350935,2022-01-19,Platinum,csmith@oliver.com,001-329-431-6756x2566
35,Timothy Hernandez,40,Female,Bangalore,328015,2023-02-11,None,reneewallace@simmons-vasquez.com,739.060.3125
36,Mark Thompson,20,Other,Delhi,1666586,2024-05-13,None,bushwilliam@yahoo.com,001-567-088-6977x47354
37,Anthony Bailey,30,Female,Kolkata,1734272,2023-01-01,None,brycepatterson@arellano.net,735.919.1558
38,Frederick Johnson,54,Male,Hyderabad,1809246,2021-12-15,Gold,christopher85@hood.com,864-753-0481x0777
39,Robert Werner,61,Male,Bangalore,917881,2023-09-23,Platinum,millerjohn@gmail.com,(379)168-6023x73245
40,Jeffrey Hawkins,25,Other,Ahmedabad,1595876,2022-12-25,Silver,kimberly89@herrera-green.com,1912633408
41,Shannon Martinez,18,Female,Pune,1393515,2024-07-06,Platinum,maddoxannette@gmail.com,+1-843-318-4535x74922
